CRUISE6," ""CRUISE"""," ""STRATUM"""," ""TOW"""," ""STATION"""," ""STATUS_CODE"""," ""ID"""," ""SVSPP"""," ""CATCHSEX"""," ""LENGTH"""," ""EXPNUMLEN"""," ""SCIENTIFIC_NAME"""," ""LENGTH_COMMENT"""
198370,8370,04010,002,0002,10,198370040100020002,077,0,43,1,Urophycis chuss (red hake), 
198370,8370,04010,002,0002,10,198370040100020002,077,0,44,1,Urophycis chuss (red hake), 
198370,8370,04010,002,0002,10,198370040100020002,077,0,45,2,Urophycis chuss (red hake), 
198370,8370,04010,002,0002,10,198370040100020002,077,0,47,1,Urophycis chuss (red hake), 
198370,8370,04010,002,0002,10,198370040100020002,077,0,48,2,Urophycis chuss (red hake), 
198370,8370,04010,002,0002,10,198370040100020002,077,0,49,2,Urophycis chuss (red hake), 
198370,8370,04010,002,0002,10,198370040100020002,102,0,8,1,Hippoglossoides platessoides (American plaice), 
198370,8370,04010,002,0002,10,198370040100020002,102,0,12,2,Hippoglossoides platessoides (American plaice), 
198370,8370,04010,002,0002,10,198370040100020002,102,0,24,1,Hippoglossoides platessoides (American plaice), 
198370,8370,04010,002,0002,10,198370040100020002,102,0,27,1,Hippoglossoides platessoides (American plaice), 
198370,8370,04010,002,0002,10,198370040100020002,102,0,28,2,Hippoglossoides platessoides (American plaice), 
198370,8370,04010,002,0002,10,198370040100020002,102,0,29,1,Hippoglossoides platessoides (American plaice), 
198370,8370,04010,002,0002,10,198370040100020002,102,0,31,1,Hippoglossoides platessoides (American plaice), 
198370,8370,04010,002,0002,10,198370040100020002,107,0,20,1,Glyptocephalus cynoglossus (witch flounder), 
198370,8370,04010,002,0002,10,198370040100020002,107,0,21,1,Glyptocephalus cynoglossus (witch flounder), 
198370,8370,04010,002,0002,10,198370040100020002,107,0,23,1,Glyptocephalus cynoglossus (witch flounder), 
198370,8370,04010,002,0002,10,198370040100020002,107,0,24,2,Glyptocephalus cynoglossus (witch flounder), 
198370,8370,04010,002,0002,10,198370040100020002,107,0,25,2,Glyptocephalus cynoglossus (witch flounder), 
198370,8370,04010,002,0002,10,198370040100020002,107,0,26,10,Glyptocephalus cynoglossus (witch flounder), 
198370,8370,04010,002,0002,10,198370040100020002,107,0,27,3,Glyptocephalus cynoglossus (witch flounder), 
198370,8370,04010,002,0002,10,198370040100020002,107,0,28,2,Glyptocephalus cynoglossus (witch flounder), 
198370,8370,04010,002,0002,10,198370040100020002,107,0,29,3,Glyptocephalus cynoglossus (witch flounder), 
198370,8370,04010,002,0002,10,198370040100020002,107,0,34,1,Glyptocephalus cynoglossus (witch flounder), 
198370,8370,04010,002,0002,10,198370040100020002,107,0,46,1,Glyptocephalus cynoglossus (witch flounder), 
198370,8370,04010,002,0002,10,198370040100020002,155,0,23,1,Sebastes fasciatus (Acadian redfish), 
198370,8370,04010,002,0002,10,198370040100020002,310,0,14,2,Chaceon quinquedens (red deepsea crab), 
